feature,importance
Contract_Month-to-Month,0.35040092230039344
Number of Referrals,0.12333274368183493
Age,0.07827061159535224
Monthly Charge,0.0647176398020518
Tenure in Months,0.06426584226308679
Number of Dependents,0.05729556157338049
Online Security_No,0.04312873204046059
Premium Tech Support_No,0.03485646889087146
Total Revenue,0.024592284887655785
City_San Diego,0.02345761257451386
Payment Method_Credit Card,0.01992734153167815
Contract_Two Year,0.008167129459394667
Zip Code,0.00775439705963767
Payment Method_Mailed Check,0.005851132764795597
Internet Type_Fiber Optic,0.005343435225682132
Contract_One Year,0.0044503470171873465
Total Charges,0.004140166686715367
Online Backup_No,0.0038559236300662997
Paperless Billing_No,0.003684356382107096
Streaming Music_Yes,0.0027965630592435976
City_Temecula,0.002513351629332144
Avg Monthly Long Distance Charges,0.0024950647447135096
Paperless Billing_Yes,0.0024817848238259093
Total Refunds,0.0024601207987206605
Streaming Movies_Yes,0.0023624505071671528
